mineral,technology,scenario,year,demand_kt
Electric vehicles - Mining,Hydrogen technologies,STEPS,2040,135.831
Electric vehicles - Mining,Hydrogen technologies,STEPS,2045,160.131
Electric vehicles - Mining,Hydrogen technologies,STEPS,2050,172.363
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,167.6
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,181.126
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,183.682
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,220.42
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,239.912
Electric vehicles - Mining,Hydrogen technologies,NZE,2030,243.407
Electric vehicles - Mining,Hydrogen technologies,NZE,2035,273.869
Electric vehicles - Mining,Hydrogen technologies,NZE,2040,247.711
Electric vehicles - Mining,Hydrogen technologies,NZE,2045,282.737
Electric vehicles - Mining,Hydrogen technologies,NZE,2050,291.759
Electric vehicles - Mining,Battery-grade graphite,STEPS,2024,838.949
Electric vehicles - Mining,Battery-grade graphite,STEPS,2030,2590.96
Electric vehicles - Mining,Battery-grade graphite,STEPS,2035,3478.11
Electric vehicles - Mining,Battery-grade graphite,STEPS,2040,3325.78
Electric vehicles - Mining,Battery-grade graphite,STEPS,2045,2592.57
Electric vehicles - Mining,Battery-grade graphite,STEPS,2050,2115.07
Electric vehicles - Mining,Battery-grade graphite,NZE,2030,2937.69
Electric vehicles - Mining,Battery-grade graphite,NZE,2035,4311.41
Electric vehicles - Mining,Battery-grade graphite,NZE,2040,4484.81
Electric vehicles - Mining,Battery-grade graphite,NZE,2045,3569.38
Electric vehicles - Mining,Battery-grade graphite,NZE,2050,2935.62
Electric vehicles - Mining,Battery-grade graphite,NZE,2030,4457.94
Electric vehicles - Mining,Battery-grade graphite,NZE,2035,6738.2
Electric vehicles - Mining,Battery-grade graphite,NZE,2040,6200.13
Electric vehicles - Mining,Battery-grade graphite,NZE,2045,4894.37
Electric vehicles - Mining,Battery-grade graphite,NZE,2050,3833.09
Electric vehicles - Mining,Grid battery storage,STEPS,2024,163.561
Electric vehicles - Mining,Grid battery storage,STEPS,2030,371.702
Electric vehicles - Mining,Grid battery storage,STEPS,2035,464.764
Electric vehicles - Mining,Grid battery storage,STEPS,2040,637.54
Electric vehicles - Mining,Grid battery storage,STEPS,2045,667.461
Electric vehicles - Mining,Grid battery storage,STEPS,2050,786.089
Electric vehicles - Mining,Grid battery storage,NZE,2030,420.986
Electric vehicles - Mining,Grid battery storage,NZE,2035,576.128
Electric vehicles - Mining,Grid battery storage,NZE,2040,804.748
Electric vehicles - Mining,Grid battery storage,NZE,2045,850.532
Electric vehicles - Mining,Grid battery storage,NZE,2050,1001.91
Electric vehicles - Mining,Grid battery storage,NZE,2030,509.25
Electric vehicles - Mining,Grid battery storage,NZE,2035,780.852
Electric vehicles - Mining,Grid battery storage,NZE,2040,990.819
Electric vehicles - Mining,Grid battery storage,NZE,2045,1111.15
Electric vehicles - Mining,Grid battery storage,NZE,2050,1206.66
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2024,1002.51
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2030,2962.66
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2035,3942.87
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2040,3963.32
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2045,3260.03
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2050,2901.16
Electric vehicles - Mining,Total battery-grade graphite,NZE,2030,3358.67
Electric vehicles - Mining,Total battery-grade graphite,NZE,2035,4887.54
Electric vehicles - Mining,Total battery-grade graphite,NZE,2040,5289.55
Electric vehicles - Mining,Total battery-grade graphite,NZE,2045,4419.91
Electric vehicles - Mining,Total battery-grade graphite,NZE,2050,3937.53
Electric vehicles - Mining,Total battery-grade graphite,NZE,2030,4967.19
Electric vehicles - Mining,Total battery-grade graphite,NZE,2035,7519.05
Electric vehicles - Mining,Total battery-grade graphite,NZE,2040,7190.95
Electric vehicles - Mining,Total battery-grade graphite,NZE,2045,6005.52
Electric vehicles - Mining,Total battery-grade graphite,NZE,2050,5039.76
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2024,109.026
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2030,326.09
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2035,537.596
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2040,738.667
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2045,860.04
Electric vehicles - Mining,Total battery-grade graphite,STEPS,2050,930.291
Electric vehicles - Mining,Total battery-grade graphite,NZE,2030,369.49
Electric vehicles - Mining,Total battery-grade graphite,NZE,2035,665.431
Electric vehicles - Mining,Total battery-grade graphite,NZE,2040,992.749
Electric vehicles - Mining,Total battery-grade graphite,NZE,2045,1173.38
Electric vehicles - Mining,Total battery-grade graphite,NZE,2050,1275.95
Electric vehicles - Mining,Total battery-grade graphite,NZE,2030,556.303
Electric vehicles - Mining,Total battery-grade graphite,NZE,2035,1023.66
Electric vehicles - Mining,Total battery-grade graphite,NZE,2040,1317.96
Electric vehicles - Mining,Total battery-grade graphite,NZE,2045,1496.95
Electric vehicles - Mining,Total battery-grade graphite,NZE,2050,1546.5
Electric vehicles - Mining,Grid battery storage,STEPS,2024,18.975
Electric vehicles - Mining,Grid battery storage,STEPS,2030,42.6342
Electric vehicles - Mining,Grid battery storage,STEPS,2035,51.3793
Electric vehicles - Mining,Grid battery storage,STEPS,2040,70.0391
Electric vehicles - Mining,Grid battery storage,STEPS,2045,76.144
Electric vehicles - Mining,Grid battery storage,STEPS,2050,88.9949
Electric vehicles - Mining,Grid battery storage,NZE,2030,48.287
Electric vehicles - Mining,Grid battery storage,NZE,2035,63.6905
Electric vehicles - Mining,Grid battery storage,NZE,2040,88.4083
Electric vehicles - Mining,Grid battery storage,NZE,2045,97.0289
Electric vehicles - Mining,Grid battery storage,NZE,2050,113.428
Electric vehicles - Mining,Grid battery storage,NZE,2030,58.4109
Electric vehicles - Mining,Grid battery storage,NZE,2035,86.3225
Electric vehicles - Mining,Grid battery storage,NZE,2040,108.85
Electric vehicles - Mining,Grid battery storage,NZE,2045,126.76
Electric vehicles - Mining,Grid battery storage,NZE,2050,136.609
Electric vehicles - Mining,Grid battery storage,STEPS,2024,128.001
Electric vehicles - Mining,Grid battery storage,STEPS,2030,368.725
Electric vehicles - Mining,Grid battery storage,STEPS,2035,588.976
Electric vehicles - Mining,Grid battery storage,STEPS,2040,808.706
Electric vehicles - Mining,Grid battery storage,STEPS,2045,936.184
Electric vehicles - Mining,Grid battery storage,STEPS,2050,1019.29
Electric vehicles - Mining,Grid battery storage,NZE,2030,417.777
Electric vehicles - Mining,Grid battery storage,NZE,2035,729.121
Electric vehicles - Mining,Grid battery storage,NZE,2040,1081.16
Electric vehicles - Mining,Grid battery storage,NZE,2045,1270.41
Electric vehicles - Mining,Grid battery storage,NZE,2050,1389.38
Electric vehicles - Mining,Grid battery storage,NZE,2030,614.714
Electric vehicles - Mining,Grid battery storage,NZE,2035,1109.99
Electric vehicles - Mining,Grid battery storage,NZE,2040,1426.81
Electric vehicles - Mining,Grid battery storage,NZE,2045,1623.71
Electric vehicles - Mining,Grid battery storage,NZE,2050,1683.11
Manganese - Mining,Wind,STEPS,2024,104.804
Manganese - Mining,Wind,STEPS,2030,152.122
Manganese - Mining,Wind,STEPS,2035,136.473
Manganese - Mining,Wind,STEPS,2040,116.978
Manganese - Mining,Wind,STEPS,2045,129.405
Manganese - Mining,Wind,STEPS,2050,161.922
Manganese - Mining,Wind,NZE,2030,208.873
Manganese - Mining,Wind,NZE,2035,190.768
Manganese - Mining,Wind,NZE,2040,169.013
Manganese - Mining,Wind,NZE,2045,175.528
Manganese - Mining,Wind,NZE,2050,238.835
Manganese - Mining,Wind,NZE,2030,272.129
Manganese - Mining,Wind,NZE,2035,294.564
Manganese - Mining,Wind,NZE,2040,215.694
Manganese - Mining,Wind,NZE,2045,201.728
Manganese - Mining,Wind,NZE,2050,256.114
Other low emissions power generation - Mining,Wind,STEPS,2024,16.641999999999996
Other low emissions power generation - Mining,Wind,STEPS,2030,24.32299999999998
Other low emissions power generation - Mining,Wind,STEPS,2035,28.724999999999994
